,,4-19-10 KN,4-19-10 SU,4-19-11 SU,4-19-11 KN,4-20-15 KN,4-20-15 WC,4-20-16 WC,4-20-16 KN,4-21-10 SS,4-21-10 MS,4-21-14 MS,4-21-14 SS,4-21-15 SC,4-21-15 MS,4-24-9 MS,4-24-9 SC,5-2-13 SC,5-2-13 WC,5-2-14 WC,5-2-14 SC,4-12-15 KN,4-12-15 SU,4-14-14 KN,4-14-14 WC,4-25-10 SU,4-25-10 KN,4-25-16 WC,4-25-16 KN,4-26-15 SS,4-26-15 MS,5-2-10 MS,5-2-10 SS,5-2-15 SC,5-2-15 MS,5-3-10 MS,5-3-10 SC,5-10-10 SC,5-10-10 WC,5-11-15 WC,5-11-15 SC,5-9-10 KN,5-9-10 SU,5-12-10 SU,5-12-10 KN,6-6-12 KN,6-6-12 WC,6-6-14 WC,6-6-14 KN,6-8-9 SS,6-8-9 MS,6-9-10 MS,6-9-10 SS,6-14-15 SC,6-14-15 MS,6-22-10 MS,6-22-10 SC,6-22-12 SC,6-22-12 WC,6-22-14 WC,6-22-14 SC,Total,,,Percentage,,Non-CS,CS,CP
VE,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.1,Grids,,,,,,,,,,1,1,,1,1,1,,,,,,,1,1,,1,,,,,1,1,,1,1,1,,1,,,1,,1,1,,,,,,,1,1,,1,1,1,1,1,,,,24,60,,40,,5,10,9
1.1.2,Tables,1,,,,1,,,1,,,,,,,,1,,,,1,,,,1,,1,,1,1,,,1,,,,1,1,,,,1,,,1,1,,,1,,,,,,,,,,,1,,17,60,,28.33333333,,5,7,5
1.1.3,Boxes/Circles,1,,,1,1,1,1,,,1,1,1,1,1,,,,,,1,,,1,1,,1,,1,,,,1,,,,1,,,,,,,,1,,1,1,1,1,1,1,1,,,,,1,,,,26,60,,43.33333333,,11,6,9
1.2.1,Punctuation,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,7,60,,11.66666667,,3,0,4
1.2.2,People,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,60,,1.666666667,,0,1,0
1.2.3,Emoji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,,0,,0,0,0
1.2.4,Other,1,,,,1,,,,,,1,,1,,1,1,1,,1,1,1,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,1,,1,1,1,,,,,,1,19,60,,31.66666667,,9,3,7
1.3,Labels,1,,,,1,,1,1,,1,,,1,1,,1,,,1,1,1,,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,,1,1,1,,1,1,,,,21,60,,35,,10,5,6
1.4,Text,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,1,,1,,,1,1,,,,,,1,13,60,,21.66666667,,3,5,5
1.5.1,Simple Maths,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,,49,60,,81.66666667,,17,16,16
1.5.2,Advanced Maths,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,5,60,,8.333333333,,2,0,3
1.6,Arrows/Lines,1,,,,1,,,1,1,1,1,,,1,,,,,1,1,,,,,,1,,1,,,1,1,,,,,,1,1,1,,,,,1,,1,1,,1,1,,,,,,,,,,21,60,,35,,9,7,5
1.7,Colour,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,1,,1,,9,60,,15,,1,5,3
1.8,Proximity,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,5,60,,8.333333333,,3,0,2
1.9,Recreating Instance,1,1,1,1,,1,1,1,,1,1,,1,1,1,,1,1,1,1,,1,,1,1,,1,,,1,1,,1,1,1,1,,1,,1,,1,1,,,1,1,,,1,1,,1,1,1,1,1,1,1,1,42,60,,70,,16,12,14
1.10,Lists/Sequences,1,,,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,,,,,,1,,1,,,,1,,,,,,1,,,1,,,,,,,1,1,,1,1,,1,,,,1,1,1,26,60,,43.33333333,,13,4,9
1.11,Crossing out,1,1,,1,1,1,,1,,1,,1,,1,1,1,,1,1,1,1,,,1,,1,1,1,1,,,1,,1,,,,1,1,1,1,,,,,,1,,,,1,1,1,,,1,1,,,,32,60,,53.33333333,,14,11,7
,Gestures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1,Pointing serial,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,56,60,,93.33333333,,18,20,18
2.1.2,Pointing parallel,1,,1,1,1,1,,,,,1,1,1,1,,,,,,1,1,1,1,,,,1,1,,,,,,1,1,1,1,,1,1,,,1,1,,1,,1,,,1,,1,1,,,,,1,,29,60,,48.33333333,,10,11,8
2.1.3,Pointing Multi-tap,1,1,1,1,,1,,,,,,,1,,,,,1,,,1,1,1,1,1,1,1,1,,,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,  ,,1,1,,1,1,,,1,1,1,,35,60,,58.33333333,,7,15,13
2.2.1,Drag,1,1,1,,1,,,,1,,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,,,1,,1,,1,1,1,1,1,,1,1,1,1,1,,1,,,1,1,1,1,42,60,,70,,13,14,15
2.2.2,Lasso,1,1,,,1,,1,,1,1,1,1,1,,,,,,,,,1,,,1,1,,1,,,,,1,,,,,,1,,,,1,,,1,,,1,1,,1,,,1,,,1,1,,23,60,,38.33333333,,9,6,8
2.2.3,Manipulation,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,60,,6.666666667,,2,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,Memory related VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,List (sorted),1,,,1,,1,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,1,1,,12,60,,20,,5,1,6
1.2,Table,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,9,60,,15,,3,3,3
