Artifact Id,Paper Id
4/19//10:1:1,"Non-CS 1,1"
4/19//10:1:2,"Non-CS 1,1"
4/19//10:1:3,"Non-CS 1,1"
4/19//10:1:4,"Non-CS 1,1"
4/19//10:2:1,"Non-CS 1,2"
4/19//10:2:2,"Non-CS 1,2"
4/19//10:2:3,"Non-CS 1,2"
4/19//10:2:4,"Non-CS 1,2"
5/9//14:1:1,"Non-CS 10,1"
5/9//14:1:2,"Non-CS 10,1"
5/9//14:1:3,"Non-CS 10,1"
5/9//14:1:4,"Non-CS 10,1"
5/9//14:2:1,"Non-CS 10,2"
5/9//14:2:2,"Non-CS 10,2"
4/19//11:1:1,"Non-CS 2,1"
4/19//11:1:2,"Non-CS 2,1"
4/19//11:1:3,"Non-CS 2,1"
4/19//11:2:1,"Non-CS 2,2"
4/19//11:2:2,"Non-CS 2,2"
4/20//15:1:1,"Non-CS 3,1"
4/20//15:1:2,"Non-CS 3,1"
4/20//15:1:3,"Non-CS 3,1"
4/20//15:2:1,"Non-CS 3,2"
4/20//15:2:2,"Non-CS 3,2"
4/20//15:2:3,"Non-CS 3,2"
4/20//16:1:1,"Non-CS 4,1"
4/20//16:1:2,"Non-CS 4,1"
4/20//16:1:3,"Non-CS 4,1"
4/20//16:2:1,"Non-CS 4,2"
4/20//16:2:2,"Non-CS 4,2"
4/21//10:1:1,"Non-CS 5,1"
4/21//10:1:2,"Non-CS 5,1"
4/21//10:2:1,"Non-CS 5,2"
4/21//14:1:1,"Non-CS 6,1"
4/21//14:1:2,"Non-CS 6,1"
4/21//14:1:3,"Non-CS 6,1"
4/21//14:1:4,"Non-CS 6,1"
4/21//14:1:5,"Non-CS 6,1"
4/21//14:2:1,"Non-CS 6,2"
4/21//14:2:2,"Non-CS 6,2"
4/21//14:2:3,"Non-CS 6,2"
4/21//14:2:4,"Non-CS 6,2"
4/21//15:1:1,"Non-CS 7,1"
4/21//15:1:2,"Non-CS 7,1"
4/21//15:1:3,"Non-CS 7,1"
4/21//15:2:1,"Non-CS 7,2"
4/21//15:2:2,"Non-CS 7,2"
4/21//15:2:3,"Non-CS 7,2"
4/21//15:2:4,"Non-CS 7,2"
4/21//15:2:5,"Non-CS 7,2"
4/24//9:1:1,"Non-CS 8,1"
4/24//9:1:2,"Non-CS 8,1"
4/24//9:1:3,"Non-CS 8,1"
4/24//9:1:4,"Non-CS 8,1"
4/24//9:1:5,"Non-CS 8,1"
4/24//9:2:1,"Non-CS 8,2"
4/24//9:2:2,"Non-CS 8,2"
4/24//9:2:3,"Non-CS 8,2"
4/24//9:2:4,"Non-CS 8,2"
4/24//9:2:5,"Non-CS 8,2"
4/24//9:2:6,"Non-CS 8,2"
5/2//13:1:1,"Non-CS 9,1"
